Cuproptosis	lncRNA	cor	pvalue	Regulation
ATP7A	AL078581.2	0.50337752219482	1.01702089064035e-71	postive
LIAS	AC012063.1	0.46073730744093	6.68551154997185e-59	postive
GLS	CYYR1-AS1	0.556615731088183	1.67911438169098e-90	postive
GLS	MAL2-AS1	0.451709329867008	2.06087558526839e-56	postive
GCSH	AC021851.1	0.520752406557245	1.74335086937572e-77	postive
LIAS	AL355075.2	0.462297877946002	2.43938307440233e-59	postive
LIAS	AC104825.1	0.458476813509488	2.85336436755727e-58	postive
GLS	AL662889.1	0.456989033624314	7.37177666831024e-58	postive
LIAS	CTBP1-AS	0.50470665475205	3.78375568980599e-72	postive
LIAS	AC007566.1	0.457019680797418	7.22938567728204e-58	postive
ATP7A	OIP5-AS1	0.563199155542194	4.56577007429288e-93	postive
MTF1	OIP5-AS1	0.506339420811858	1.11639745639032e-72	postive
DBT	OIP5-AS1	0.550069268921593	5.24735507316618e-88	postive
GCSH	AC087521.2	0.455041189664541	2.53619428686491e-57	postive
GCSH	AC099811.4	0.455009437067513	2.58762453201125e-57	postive
GLS	AC009053.3	0.532819469047952	1.0855580499046e-81	postive
GLS	AL136131.2	0.491596176037205	5.39361076540097e-68	postive
FDX1	HECW2-AS1	0.634383672084618	6.47146674204885e-125	postive
FDX1	LINC00636	0.52215629856357	5.76448654959062e-78	postive
GLS	MGAT3-AS1	0.512116234998067	1.40933717360098e-74	postive
LIAS	AC010245.2	0.493271679705541	1.62563741253859e-68	postive
FDX1	AC091588.3	0.492843312384456	2.21036339532981e-68	postive
GCSH	ALMS1-IT1	0.486359249709903	2.19446413843049e-66	postive
DBT	SUCLG2-AS1	0.483260282783685	1.90831254737738e-65	postive
GCSH	AP002907.1	0.494160400247741	8.58172318751452e-69	postive
MTF1	AC024075.3	0.453444429323703	6.94204153825516e-57	postive
LIPT2	ZNF436-AS1	0.532602291226627	1.29675173692917e-81	postive
GCSH	BX004807.1	0.451416760329485	2.47437902957646e-56	postive
GLS	LINC01883	0.600584769302512	8.57790582310498e-109	postive
GCSH	AC087392.3	0.462424881889876	2.24670530822556e-59	postive
LIAS	AC006435.2	0.473483544926208	1.5191600697973e-62	postive
LIAS	AL021368.2	0.502434438591278	2.04581866147687e-71	postive
GLS	AC010491.2	0.521450149603146	1.00645203560221e-77	postive
NLRP3	CARD8-AS1	0.510790714495976	3.87200494511118e-74	postive
GLS	AC006504.1	0.472573482840109	2.79823645629086e-62	postive
LIAS	PSMA3-AS1	0.581396232901275	1.81786613419043e-100	postive
NLRP3	LINC02285	0.497429368488828	8.05325719532409e-70	postive
LIAS	SEPSECS-AS1	0.498310905392612	4.2359090883079e-70	postive
FDX1	C1QTNF1-AS1	0.685985840438837	8.179254649029e-154	postive
LIAS	AC015849.3	0.506186062315124	1.25236708722423e-72	postive
LIAS	AC093827.4	0.517661916823921	1.95667875448374e-76	postive
ATP7A	RAP2C-AS1	0.527033704710582	1.18399793645079e-79	postive
NLRP3	PTPRN2-AS1	0.461347750984821	4.50952294476892e-59	postive
GLS	AC234772.1	0.468105963403484	5.46519555702309e-61	postive
CDKN2A	AC023403.1	0.45926311667019	1.7245417595909e-58	postive
PDHA1	AC092718.4	0.46061228049091	7.24629116450328e-59	postive
LIAS	CKMT2-AS1	0.514890376050819	1.67540548288029e-75	postive
GCSH	AL050343.2	0.453328442346191	7.46727481245113e-57	postive
LIAS	DNAJC9-AS1	0.494764976227431	5.55091215338632e-69	postive
MTF1	LINC00863	0.46463129714835	5.34979311807358e-60	postive
DBT	LINC00863	0.455903559090029	1.46905358199878e-57	postive
GCSH	AC084824.4	0.475037779156517	5.32958036498248e-63	postive
GLS	AC121757.2	0.483713008152947	1.39324014645486e-65	postive
GLS	AP003117.1	0.48923438744714	2.89188521758583e-67	postive
GLS	AL031587.1	0.528753032377019	2.9643865162678e-80	postive
LIPT2	AP002761.2	0.672219848620785	1.57213230214521e-145	postive
LIAS	AC084198.2	0.452296987642192	1.42661004393941e-56	postive
GCSH	AC011773.4	0.463176236426414	1.37986319518292e-59	postive
LIAS	CRNDE	0.451561920995962	2.2598197176958e-56	postive
GLS	RASAL2-AS1	0.450529917092535	4.30246064377358e-56	postive
ATP7A	WDFY3-AS2	0.471887927173356	4.42786324485019e-62	postive
LIAS	WDFY3-AS2	0.476507388225814	1.9696545058594e-63	postive
LIAS	MIR3936HG	0.570039528084594	8.55055175372127e-96	postive
GLS	KRT7-AS	0.473461679816592	1.54165271740768e-62	postive
LIAS	AC010201.2	0.479946999861325	1.88068674390603e-64	postive
GCSH	AC017071.1	0.464377056549181	6.31511111818072e-60	postive
GCSH	AL355075.6	0.452820681041143	1.02726626057814e-56	postive
LIAS	EHMT2-AS1	0.469186223369189	2.67458479735402e-61	postive
GCSH	AC093484.4	0.457654658876331	4.82393299683823e-58	postive
GCSH	MCM8-AS1	0.459162482319736	1.83947393899412e-58	postive
LIAS	UBA6-AS1	0.459273273368709	1.71334662957294e-58	postive
GLS	LINC00511	0.597436403755745	2.1788325404627e-107	postive
GLS	AC107021.2	0.505298066181167	2.43356946832887e-72	postive
GCSH	AC009120.2	0.455736468599447	1.63319997220715e-57	postive
LIAS	AC095057.3	0.456977048383189	7.4282175600829e-58	postive
GCSH	AC026356.2	0.468104746142909	5.46959019098565e-61	postive
MTF1	AC008764.2	0.497752422263527	6.36521374437511e-70	postive
DBT	AC008764.2	0.466769182840102	1.31860435355585e-60	postive
GLS	AC026341.1	0.524848232290606	6.80531832784486e-79	postive
GCSH	AL049539.1	0.46033906482612	8.6398839439683e-59	postive
GCSH	AC092718.1	0.529859055432636	1.21120557651613e-80	postive
GLS	C2orf91	0.498837501434368	2.88322227386616e-70	postive
GLS	AL121906.1	0.453958259781875	5.02363316748634e-57	postive
LIAS	RAD51-AS1	0.486303938670014	2.28127899010553e-66	postive
GLS	AC099677.3	0.479631899101568	2.33479876802568e-64	postive
ATP7A	SGMS1-AS1	0.478373417506992	5.52626596734331e-64	postive
LIAS	SGMS1-AS1	0.451745709844607	2.01451943622644e-56	postive
PDHB	SGMS1-AS1	0.47461729864783	7.07938151559053e-63	postive
NLRP3	AL109741.1	0.507882224017294	3.50165051373226e-73	postive
GLS	AL136979.1	0.505989522588087	1.45097942197744e-72	postive
LIAS	AC021205.3	0.483441686361857	1.68240334158139e-65	postive
GLS	AC009226.1	0.468097681473344	5.49516503167527e-61	postive
LIAS	AL391684.1	0.504142365313709	5.76051526451314e-72	postive
GLS	LINC02652	0.567948327282057	5.92418825311545e-95	postive
GCSH	AC004884.2	0.463031639107856	1.51572511849822e-59	postive
LIAS	PPP3CB-AS1	0.455137414540609	2.38646533320009e-57	postive
GLS	AC007639.1	0.584281929371904	1.10352503051477e-101	postive
GCSH	FO680682.1	0.461581137755568	3.87846697103143e-59	postive
LIAS	LINC00339	0.486417371908141	2.106778400978e-66	postive
CDKN2A	CDKN2A-DT	0.762364963128263	9.56235073918015e-210	postive
GLS	AC011352.3	0.518361086878882	1.13472585763643e-76	postive
LIAS	UGDH-AS1	0.641439404649153	1.53855277071012e-128	postive
GLS	GFOD1-AS1	0.481687762014646	5.67042320992702e-65	postive
ATP7A	AC108449.2	0.530124670484028	9.76453705428634e-81	postive
LIAS	AC114980.1	0.45016700723141	5.39295444629793e-56	postive
NLRP3	MIR22HG	0.456045691816177	1.34241535931169e-57	postive
GLS	AC090579.1	0.45781206198328	4.36304823049763e-58	postive
GLS	MFF-DT	0.453940366222242	5.08058403454508e-57	postive
LIAS	AC012313.3	0.457290705695253	6.08349911734609e-58	postive
LIAS	AC079142.1	0.481727719930812	5.51604572206286e-65	postive
LIAS	BCDIN3D-AS1	0.475402043964751	4.16616477863313e-63	postive
LIAS	AC092794.1	0.451447844964767	2.42679086642005e-56	postive
ATP7A	EBLN3P	0.535312432798171	1.39764954543558e-82	postive
LIAS	EBLN3P	0.45848475442321	2.83890979549079e-58	postive
DBT	EBLN3P	0.542489427717053	3.47068699478792e-85	postive
GCSH	AC037487.1	0.451659481219396	2.12612137189334e-56	postive
GLS	AC024901.1	0.451335599686895	2.60305050665985e-56	postive
FDX1	GLIDR	0.514297522396129	2.64542148875766e-75	postive
GCSH	AC129803.1	0.464677564258396	5.19062630665703e-60	postive
GLS	AC036176.3	0.465841694106974	2.42388792609761e-60	postive
LIAS	AC008629.1	0.474533491532458	7.4911845710485e-63	postive
GLS	LINC02097	0.466237256602693	1.87003424498601e-60	postive
GLS	AC122719.3	0.538979270074881	6.64245941463854e-84	postive
GCSH	AC009120.5	0.486225335749244	2.41056374477434e-66	postive
CDKN2A	AP001505.1	0.459758340615685	1.25501939643356e-58	postive
GLS	AC007391.1	0.476094272500793	2.60690880870487e-63	postive
LIAS	AL022157.1	0.471207161151191	6.97691811757964e-62	postive
NLRP3	AC107959.1	0.482601543998424	3.01354708573793e-65	postive
LIAS	AC096586.2	0.568656415556749	3.08078797399416e-95	postive
ATP7A	NORAD	0.50555349337883	2.01067566342941e-72	postive
DBT	NORAD	0.498067845697431	5.05779979702758e-70	postive
GLS	AC091588.1	0.45013349945416	5.50654684970879e-56	postive
ATP7A	PAXIP1-AS2	0.5466413985528	1.01019271688779e-86	postive
LIAS	PAXIP1-AS2	0.536189645058355	6.76649637028559e-83	postive
DBT	PAXIP1-AS2	0.455395732718793	2.02660107597533e-57	postive
GLS	AL359878.2	0.524617507042887	8.17912793494016e-79	postive
GCSH	AC137932.3	0.457082783193087	6.94476231790964e-58	postive
DBT	AC007406.4	0.459098399950388	1.91659964343035e-58	postive
NLRP3	AL133371.2	0.551679953720199	1.29191537285159e-88	postive
GCSH	AL133243.2	0.481125972840052	8.35579263351501e-65	postive
GLS	LINC00601	0.540052356366555	2.70422430509878e-84	postive
ATP7A	AC024075.1	0.463588043620039	1.05578708701722e-59	postive
MTF1	AC024075.1	0.507298054193218	5.43550862693068e-73	postive
DBT	AC024075.1	0.468726714838551	3.62581077847366e-61	postive
GLS	LINC01152	0.488029930460354	6.77508825158123e-67	postive
GCSH	ADNP-AS1	0.481740561769309	5.46732500305596e-65	postive
LIAS	TAPT1-AS1	0.543395001097338	1.61150811923725e-85	postive
LIAS	UBE2D3-AS1	0.450176760019912	5.36033228306419e-56	postive
LIAS	LINC02718	0.456993048439221	7.35296565471343e-58	postive
ATP7A	Z68871.1	0.545999176544747	1.75146651668486e-86	postive
MTF1	Z68871.1	0.459657088519897	1.3393335971505e-58	postive
DBT	RTCA-AS1	0.528256215923296	4.42665259629247e-80	postive
LIAS	AC079781.5	0.459730321602877	1.27780812904272e-58	postive
LIAS	AC060780.1	0.487156146249969	1.25377425302373e-66	postive
LIAS	AC025917.1	0.468245542531012	4.98388916119189e-61	postive
GLS	AC074194.1	0.560644697103587	4.59015987941879e-92	postive
LIAS	AC008124.1	0.46044996872172	8.04464941443152e-59	postive
